date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
2023-05-30,19,Solitaire,Werenoi,74,146440,album,10,2022-06-03,True,https://i.scdn.co/image/ab67616d0000b273cf79b3201cff3e3a19942f12
2023-05-30,20,La faille,Jul,72,291280,single,1,2023-05-12,True,https://i.scdn.co/image/ab67616d0000b273bd27d89f43436a6487849fb3
2023-05-30,21,Freestyle LVL UP 3,Ninho,69,200976,single,1,2023-05-22,True,https://i.scdn.co/image/ab67616d0000b2738e733d61872c68263a014c0a
2023-05-30,22,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,91,140017,single,2,2023-04-06,False,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
2023-05-30,23,Freestyle LVL UP 1,Ninho,77,114182,single,1,2023-05-02,True,https://i.scdn.co/image/ab67616d0000b273fbe613b1c15b681dc3e84dfe
2023-05-30,24,Dépassé,Nuit Incolore,75,172394,single,1,2022-12-15,False,https://i.scdn.co/image/ab67616d0000b273b157e61791dc23dff9786eb4
2023-05-30,25,TQG,KAROL G,96,197933,album,17,2023-02-24,True,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
2023-05-30,26,Nouvelles,PLK,75,179653,single,10,2023-04-13,True,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
2023-05-30,27,Some Kind Of Kiss,Sound Of Legend,73,148124,single,1,2023-02-24,False,https://i.scdn.co/image/ab67616d0000b2732c9bc8e7a833aaf89526d1f5
2023-05-30,28,La bandite,Jul,78,160893,album,25,2019-06-28,True,https://i.scdn.co/image/ab67616d0000b2733c505b5ddcbdf80c7dff5a1f
2023-05-30,29,Urus,Favé,71,147788,single,1,2022-10-12,True,https://i.scdn.co/image/ab67616d0000b273583586e9318379d1add68cfe
2023-05-30,30,DIE,Gazo,76,240413,album,15,2022-07-01,True,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
2023-05-30,31,Secret,Louane,74,191173,album,14,2022-12-09,False,https://i.scdn.co/image/ab67616d0000b2736ddad5ffc62722ceecacd18a
2023-05-30,32,As It Was,Harry Styles,92,167303,album,13,2022-05-20,False,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
2023-05-30,33,The Ballet Girl,Aden Foyer,76,201424,single,1,2022-10-21,False,https://i.scdn.co/image/ab67616d0000b27347ec34af123096d55e5391e8
2023-05-30,34,Miracle (with Ellie Goulding),Calvin Harris & Ellie Goulding,92,186496,single,1,2023-03-10,False,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0
2023-05-30,35,Tattoo,Loreen,92,183374,single,1,2023-02-25,False,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
2023-05-30,36,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,2022-12-02,True,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
2023-05-30,37,Ragnar,Jul,63,372613,single,1,2023-05-26,True,https://i.scdn.co/image/ab67616d0000b27308f5c1530fc4689aa493aa7a
2023-05-30,38,La League,Werenoi,73,179572,single,1,2021-03-03,True,https://i.scdn.co/image/ab67616d0000b273530417284071d70ff30d43d9
2023-05-30,39,People,Libianca,93,184791,single,1,2022-12-06,False,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
2023-05-30,40,FLEURS (feat. Tiakola),Gazo,74,210933,album,15,2022-07-01,True,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
2023-05-30,41,Superstar,Stefy De Cicco & Shibui & Andrea Zelletta,74,172142,single,1,2023-01-13,False,https://i.scdn.co/image/ab67616d0000b2736b94f3d0cbff0d4d16844bb5
2023-05-30,42,Baby,Aya Nakamura,70,162373,album,15,2023-01-27,False,https://i.scdn.co/image/ab67616d0000b27342093925d784c0ef5e6f3705
2023-05-30,43,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,2023-03-24,False,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
2023-05-30,44,Daylight,David Kushner,97,212953,single,1,2023-04-14,False,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
2023-05-30,45,Substitution,Purple Disco Machine & Kungs,81,181477,single,2,2023-03-30,False,https://i.scdn.co/image/ab67616d0000b273a8bcf8fac8520ac2cbf72ea7
2023-05-30,46,La vie qu'on mène,Ninho,75,193443,album,18,2019-03-22,False,https://i.scdn.co/image/ab67616d0000b2733f12b172c90b9fe9232f38d0
2023-05-30,47,Je la connais,SCH,70,219533,album,13,2016-05-20,True,https://i.scdn.co/image/ab67616d0000b273491e586b82711d3023977d69
2023-05-30,48,Room 69,Tayc,75,189926,album,9,2023-02-14,False,https://i.scdn.co/image/ab67616d0000b2735eb0e9cec42f49289d4871f5
2023-05-30,49,Délire (feat. Tiakola),Joé Dwèt Filé & Tiakola,61,206720,single,1,2023-05-26,True,https://i.scdn.co/image/ab67616d0000b2732bd4c647fbaad8e88046306b
2023-05-30,50,La kiffance,Naps,68,179426,album,27,2021-04-02,True,https://i.scdn.co/image/ab67616d0000b2731e19cc548fdc2c55d068d713
2023-05-31,1,Bolide allemand,SDM,80,176746,album,15,2022-12-02,True,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
2023-05-31,2,LA RUE,No Limit & Gazo & Damso,79,225137,single,1,2023-05-11,True,https://i.scdn.co/image/ab67616d0000b27384f2454da0973c07a508b57e
